source,source_geo_id,source_geo_name,source_geo_type,canonical_geo_id,match_method,confidence_score,notes
zillow,394522,"DeRidder, LA",msa,metro_19760,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=LA
zillow,394591,"Fergus Falls, MN",msa,metro_22260,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=MN
zillow,394988,"Pocatello, ID",msa,metro_38540,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=ID
zillow,753889,"Hillsdale, MI",msa,metro_25880,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=MI
zillow,394805,"Los Alamos, NM",msa,metro_31060,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=NM
zillow,394424,"Bucyrus, OH",msa,metro_15340,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=OH
zillow,394634,"Gloversville, NY",msa,metro_24100,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=NY
zillow,395029,"Rochelle, IL",msa,metro_40300,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=IL
zillow,394374,"Beckley, WV",msa,metro_13220,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=WV
zillow,395216,"Waycross, GA",msa,metro_48180,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=GA
zillow,394473,"Cleveland, MS",msa,metro_17380,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=MS
zillow,394343,"Athens, OH",msa,metro_11900,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=OH
zillow,753904,"Marion, NC",msa,metro_32000,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=NC
zillow,395238,"Worcester, MA",msa,metro_49340,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=MA
zillow,394384,"Big Rapids, MI",msa,metro_13660,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=MI
zillow,395143,"Syracuse, NY",msa,metro_45060,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=NY
zillow,394403,"Borger, TX",msa,metro_14420,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=TX
zillow,394371,"Beatrice, NE",msa,metro_13100,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=NE
zillow,394544,"Dumas, TX",msa,metro_20300,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=TX
zillow,394869,"Moberly, MO",msa,metro_33620,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=MO
